iso2c,year,IAFR_BP6_USD,IAD_BP6_USD,IAP_BP6_USD,IAO_BP6_USD,IARFR_BP6_USD
AR,2003,144822.193985449,21499.8198702302,938.994,107255.787272543,15127.5928426759
AR,2004,154672.910331404,21803.8062437387,1016.487,111329.724333686,20522.8927539788
AR,2005,165854.87039577,23339.8658343957,191.566581478531,109810.599478338,32512.8385015579
AR,2006,177508.798508732,25896.5865549567,33302.9731660654,86275.5736747286,32033.6651129806
AR,2007,206089.681204904,27543.4327140745,34622.3725874859,97758.7840475636,46165.0918557802
AR,2008,210708.792727732,28788.8126286085,25236.5050089064,110298.499666574,46384.9754236434
AR,2009,223777.199746714,29535.5748324638,30527.1714303269,115748.265444932,47966.1880389916
AR,2010,238403.166035046,30328.3355128556,32120.5235960529,123766.361566939,52187.9453591977
AR,2011,254521.048142948,31891.3355128556,31869.9340378803,144384.818034573,46374.9605576393
AR,2012,263987.501427686,32919.1850909119,33185.2488007189,154593.221372084,43289.8461639709
AR,2013,261633.531045712,34517.157949639,39484.7938939399,157031.690284059,30599.8889180736
AR,2014,268008.723291297,36179.6993827441,41670.8042737003,158750.922536693,31407.2970981594
AR,2015,271766.033125883,37842.8591292066,41172.2071042555,167187.72518782,25563.241704601
AR,2016,291752.680583853,39735.1156787337,44031.2050220936,168678.97379754,39307.3860854856
AR,2017,337119.887922507,40930.019418426,59404.9834267963,181733.102074734,55051.7830025517
AR,2018,377248.689387748,42227.6262243694,60784.2900427208,208457.823597949,65778.949522708
AR,2019,398823.398031121,42671.1277917167,69294.4705725446,242013.172981626,44844.6266852324
BR,2003,136479.93023385,54891.74065886,6950.48373781,25260.61938806,49296.2068212898
BR,2004,161370.754930555,69196.20845782,9353.00823806,29777.7834056633,52934.8651856722
BR,2005,182030.345784405,79259.26522243,10834.32709023,38018.5964154575,53799.2849766775
BR,2006,253517.338103322,113925.1208,14429.0246,39210.9357962472,85838.8644070751
BR,2007,394379.093451275,141880.04178861,19269.3980736327,52753.5772465205,180333.611053352
BR,2008,421651.619611246,157795.876604629,14636.7694803816,54826.7212770515,193783.374153114
BR,2009,475824.814602045,167147.750951472,16518.63426361,53192.6912872413,238539.460825222
BR,2010,579223.881773246,191349.19748848,38202.82204054,60300.165422485,288574.623536661
BR,2011,650577.256636574,206187.16895629,28484.62958965,63227.5835557915,352010.222755872
BR,2012,739041.587668943,270864.009563,22124.414574,72351.5805630667,373146.934550876
BR,2013,759738.831198398,300791.378658,25436.713462,74057.6918156,358806.484351798
BR,2014,822719.745788541,334375.1713698,35009.14419755,89191.16425031,363550.349859241
BR,2015,808357.213946888,323293.24884746,30916.02674865,97004.49733549,356463.468006328
BR,2016,829665.478691069,342975.18498093,31596.79536023,89348.55888949,365014.759996939
BR,2017,877853.056267263,387699.88844107,40175.39567464,74792.54553845,373966.335956873
BR,2018,875523.786872454,382414.12032726,40889.21780451,75110.58581709,374714.763035403
BR,2019,893166.013227487,416553.00793469,47252.80218017,70755.3092493981,356884.221138299
CL,2003,69594.3320019829,15737.9145850198,23891.3843125408,13578.1569491518,15851.9894190005
CL,2004,86317.1774447164,20539.743193482,31322.7481633513,17443.5160959449,16016.1946152013
CL,2005,103441.894779251,24913.6526239027,40111.7639524966,20281.5347055877,16962.1449904239
