"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1995,1996,1997,1998,1999,1999Q1,1999Q2,1999Q3,1999Q4,2000,2000Q1,2000Q2,2000Q3,2000Q4,2001,2001Q1,2001Q2,2001Q3,2001Q4,2002,2002Q1,2002Q2,2002Q3,2002Q4,2003,2003Q1,2003Q2,2003Q3,2003Q4,2004,2004Q1,2004Q2,2004Q3,2004Q4,2005,2005Q1,2005Q2,2005Q3,2005Q4,2006,2006Q1,2006Q2,2006Q3,2006Q4,2007,2007Q1,2007Q2,2007Q3,2007Q4,2008,2008Q1,2008Q2,2008Q3,2008Q4,2009,2009Q1,2009Q2,2009Q3,2009Q4,2010,2010Q1,2010Q2,2010Q3,2010Q4,2011,2011Q1,2011Q2,2011Q3,2011Q4,2012,2012Q1,2012Q2,2012Q3,2012Q4,2013,2013Q1,2013Q2,2013Q3,2013Q4,2014,2014Q1,2014Q2,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018,2018Q1,2018Q2,2018Q3,2018Q4,2019,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value","454159978503.567","546051438121.613","601945744172.979","616709931683.941","656002838011.794",,,,,"714377655213.142",,,,,"797648368927.06",,,,,"958111397699.042",,,,,"1249842785824.42",,,,,"1667929571695.63",,,,,"2229859832057.59",,,,,"2982078315477.66",,,,,"4247708945146.2",,,,,"4829349896250.45",,,,,"5356583929044.53",,,,,"6136495010400.07",,,,,"6758849891592.86",,,,,"7228009966096.95",,,,,"7855815434609.93",,,,,"7729951752475.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value",,,,,,"608158384779.687","623824493753.78","638838943952.992","656002838011.794",,"672237278664.151","670666145234.695","682446890372.588","714377655213.142",,"727346774241.842","741794634741.742","779013084329.386","797648368927.06",,"818495580034.592","869300511338.746","894642813023.407","958111397699.042",,"1027792983055.82","1105466306516.68","1178947575141.48","1249842785824.42",,"1330779216825.48","1385156637301.25","1460458881667.4","1667929571695.63",,"1850344960154.18","1957391670489.21","2087212291213.51","2229859832057.59",,"2412726857686.28","2598490936124.03","2756849910634.21","2982078315477.66",,"3279366996167.26","3611942392406.51","3895032986420.53","4247708945146.2",,"4670736095360.29","4920497605804.64","5026616116804.98","4829349896250.45",,"4684197208237.03","4931349394255.03","5138135909317.65","5356583929044.53",,"5432954223159.71","5459860355003.52","5856527408252.79","6136495010400.07",,"6506208928196.17","6817853746725.33","6798313286634.08","6758849891592.86",,"6974296580440.34","6963358702045.16","7107957828029.52","7228009966096.95",,"7400355693666.34","7444075532330.74","7659149246946.4","7855815434609.93",,"7963351243951.86","8065725244406.74","7912479910938","7729951752475.54",,"7500178162336.18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","001","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value","1389816593261.46","1566272416475.79","1616244226734.89","1643823750931.15","1782706106014.75",,,,,"1936886854812.77",,,,,"2050260558927.02",,,,,"2408595787188.59",,,,,"3025723386734.2",,,,,"3749338981291.06",,,,,"4320991256854.88",,,,,"5253749345954.58",,,,,"6706256264625.32",,,,,"7347782277231.94",,,,,"8166210683778.07",,,,,"9265620895976.55",,,,,"10205071907380",,,,,"10951283428745.4",,,,,"11697661836228.1",,,,,"11606089885664",,,,,"10932301260202.2",,,,,"10726062756477",,,,,"11457776760781.5",,,,,"11436252081839",,,,,"11826179744277.4",,,,,,,,
"World","001","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value",,,,,,"1605915821770.76","1646732642027.35","1714089237837.56","1782706106014.75",,"1809493040190.66","1853651956689.54","1873110114220.27","1936886854812.77",,"1932410892758.31","1934802396398.02","2028461312349.64","2050260558927.02",,"2082320280399.35","2237595259467.27","2307951739383.79","2408595787188.59",,"2502210211298.02","2669365519940.53","2832633716828.35","3025723386734.2",,"3296667511677.09","3341400715991.05","3440895499294.11","3749338981291.06",,"3934953075758.99","4038089587941.23","4161829246649.77","4320991256854.88",,"4524709893765.78","4762030428744.77","4953469832059.43","5253749345954.58",,"5590709540351.3","5957814733720.18","6300673473350.94","6706256264625.32",,"7245076451063.35","7460493336234.47","7499847566998.64","7347782277231.94",,"7163561030075.16","7565034398536.38","7881705342239.64","8166210683778.07",,"8292693837625.95","8421629727821.75","8991664663466.71","9265620895976.55",,"9706779244973.39","10090804867932.4","10170332038563.2","10205071907380",,"10442456618608.1","10534881424220.9","10788572300586.7","10951283428745.4",,"11103361944602","11143995439453.4","11455120398285.1","11697661836228.1",,"11862677518086.1","12009952552528.8","11779657371435.6","11606089885664",,"11446275413794.8","11470739144520.4","11193335378088.5","10932301260202.2",,"10935458531333.9","10977694693936.8","11004849525233.7","10726062756477",,"10912225257877.2","11133169163386.7","11307941732606.5","11457776760781.5",,"11617575088086.6","11481374494893.7","11411373083570.1","11436252081839",,"11611069354350.2","11738438690071.8","11657668181683.8","11826179744277.4","11704541495605.8","12012010611087.9","12254524074561.1",
"Advanced Economies","110","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39719279216.1433",,,,,"54583372450.1861",,,,,"54531607830.7362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39719279216.1433",,"48736681016.0325","52189247116.4895","54557638303.4719","54583372450.1861",,"59136182382.8199","61268113269.6514","57537418378.2288","54531607830.7362",,"53873210266.0157",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28289508478.2831",,,,,"53133814167.5533",,,,,"56185016018.4485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28289508478.2831",,"34070922604.8716","51521753656.8281","54978303059.5169","53133814167.5533",,"54684934052.7298","58909588605.1702","59202166108.5899","56185016018.4485",,"54495903268.4962",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Value",,,,,"183374834576.837",,,,,"204385337107.529",,,,,"214032723957.326",,,,,"300140045831.431",,,,,"362977330632.004",,,,,"421876155525.386",,,,,"391747584693.215",,,,,"447548533660.397",,,,,"532681129094.324",,,,,"521759275791.852",,,,,"627647759871.632",,,,,"658171106537.274",,,,,"684345914674.694",,,,,"807757954520.634",,,,,"848884599405.644",,,,,"782052790361.155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Value",,,,,,"168778054348","168761215000","183059955000","183374834576.837",,"175964454248.853","183895185474.446","182144953658.496","204385337107.529",,"190698020858.339","188585193809.444","213442949405.562","214032723957.326",,"224501836451.373","265328028428.796","278020411138.565","300140045831.431",,"310978409520.545","336137511900.201","335782825825.92","362977330632.004",,"364706536971.727","359186770392.035","373493706849.326","421876155525.386",,"416862291830.467","395250432029.836","391580472701.367","391747584693.215",,"402741451597.689","418215242964.394","417876029721.714","447548533660.397",,"458926882954.009","472843436546.225","505707877490.242","532681129094.324",,"579323125508.505","560885229490.378","507839435915.683","521759275791.852",,"490244218150.776","576308551181.608","619280888982.59","627647759871.632",,"635821357938.716","642105232339.088","682396749606.831","658171106537.274",,"702328356288.472","719102065751.083","704812746749.776","684345914674.694",,"705086723602.765","774665431326.33","785294148528.122","807757954520.634",,"779184497013.524","791850413452.186","828831725143.565","848884599405.644",,"854743671079.2","856919134910.103","784187605492.748","782052790361.155",,"761555832696.237",,,,,,,,,,,,,,,,,,,,,,,,,,,
