Frequency,Measure,Balance sheet position,Type of instruments,Currency denomination,Currency type of reporting country,Parent country,Type of reporting institutions,Reporting country,Counterparty sector,Counterparty country,Position type,Period,31/12/1977,31/03/1978,30/06/1978,30/09/1978,31/12/1978,31/03/1979,30/06/1979,30/09/1979,31/12/1979,31/03/1980,30/06/1980,30/09/1980,31/12/1980,31/03/1981,30/06/1981,30/09/1981,31/12/1981,31/03/1982,30/06/1982,30/09/1982,31/12/1982,31/03/1983,30/06/1983,30/09/1983,31/12/1983,31/03/1984,30/06/1984,30/09/1984,31/12/1984,31/03/1985,30/06/1985,30/09/1985,31/12/1985,31/03/1986,30/06/1986,30/09/1986,31/12/1986,31/03/1987,30/06/1987,30/09/1987,31/12/1987,31/03/1988,30/06/1988,30/09/1988,31/12/1988,31/03/1989,30/06/1989,30/09/1989,31/12/1989,31/03/1990,30/06/1990,30/09/1990,31/12/1990,31/03/1991,30/06/1991,30/09/1991,31/12/1991,31/03/1992,30/06/1992,30/09/1992,31/12/1992,31/03/1993,30/06/1993,30/09/1993,31/12/1993,31/03/1994,30/06/1994,30/09/1994,31/12/1994,31/03/1995,30/06/1995,30/09/1995,31/12/1995,31/03/1996,30/06/1996,30/09/1996,31/12/1996,31/03/1997,30/06/1997,30/09/1997,31/12/1997,31/03/1998,30/06/1998,30/09/1998,31/12/1998,31/03/1999,30/06/1999,30/09/1999,31/12/1999,31/03/2000,30/06/2000,30/09/2000,31/12/2000,31/03/2001,30/06/2001,30/09/2001,31/12/2001,31/03/2002,30/06/2002,30/09/2002,31/12/2002,31/03/2003,30/06/2003,30/09/2003,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019,30/09/2019,31/12/2019,31/03/2020,30/06/2020,30/09/2020
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,U:Unallocated by instrument,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),N:Cross-border,Q:S:L:U:TO1:A:5J:A:5A:A:5J:N,662987,678424,692161,756486,843740,845673,917720,1020100,1099892,1113814,1197941,1236396,1313096,1322595,1316543,1391705,1497477,1511183,1512850,1548239,1585841,1593049,1596040,1614489,1995727,2047184,2071439,2039609,2079505,2150746,2162957,2278485,2441940,2524360,2636962,2875759,3102222,3272770,3458537,3667760,4051835,4072050,4085184,4259726,4414125,4557691,4519510,4784177,5219034,5300227,5433290,5896408,6148704,5824780,5601143,5750688,6034678,5798089,5949983,6239046,5915287,5881872,5770753,5934539,5865695,6043312,6228229,6500947,6648579,7165474,7313018,7211955,0,1,0,0,0,0,0,0,5,0,0,4,-810,0,2,0,0,3,-2,2,6,0,-2,-13,19,3,55,26,43,7,16,31,29,30,294,16,26,28,2,24,31,14,28,23,25,6,34,40,49,70,8,25,21,45,39,21,56,49,50,60,83,330,61,66,20,33,27.999,37.995,33.02,51.002,20.03,161732.643,154913.984,152364.037,150156.745,137616.004,127744.853,117240.195,114672.374,110527.162,112956.422,114752.439,113618.229,113673.135,114202.053,119070.456,128001.609,137104.256,144368.948,145950.691,151121.987,155447.638,166186.228,174750.491,181316.592,188052.259,190611.087,165046.598,142287.605,129953.568
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5J:All countries (total),N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:A:5J:N,662987,678424,692161,756486,843740,845673,917720,1020100,1099892,1113814,1197941,1236396,1313096,1322595,1316543,1391705,1497477,1511183,1512850,1548239,1585841,1593049,1596040,1614489,1995727,2047184,2071439,2039609,2079505,2150746,2162957,2278485,2441940,2524360,2636962,2875759,3102222,3272770,3458537,3667760,4051835,4072050,4085184,4259726,4414125,4557691,4519510,4784177,5219034,5300227,5433290,5896408,6148704,5824780,5601143,5750688,6034678,5798089,5949983,6239046,5915287,5881872,5770753,5934539,5865695,6043312,6228229,6500947,6648579,7165474,7313018,7211955,7277983,7301455,7262749,7359791,7477337,7629991,7811087,7805835,8313455,8241979,8381977,8830123,8847818,8511426,8480930,8816362,8800408,9029142,9100553,9028661,9497257,9863568,9602700,9843959,10371904,10400367,11112671,11173658,11860837,12636267,13224938,13303063,14153927,14970905,15110307,15406863,16577783,17158877,17524156,17973099,18119369,19531522,20792709,21319586,22353978,24352193,25417168,27448219,29070126,31527018,30517568,29062205,26825749,25418605.5,25790791,25939016.5,25453853,25236105,24893887,26662433,26166267,27178342,27246678,27582369,26378580,26771860,25810219.11,26038791.59,25761825.93,25240758.28,25231375.67,25212237.04,25430133.7,26858543.14,27126409.73,26478612.92,25921326.66,25398481.88,24836160,24605289.13,24687173.6,25466962.65,25883277.79,25694121.8,24481633.37,25368916.09,25944453.95,26437748.04,26414677.89,27640861.61,26936268.27,26566524.48,26460815.48,27362852.19,27760426.11,27724364.65,27478023.31,29843767.21,28986029.55,29524009.14
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,UN9:Unallocated currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"B:Banks, total",5J:All countries (total),N:Cross-border,Q:S:L:A:UN9:A:5J:A:5A:B:5J:N,111365,111898,109139,118757,129020,128381,138414,157578,158637,157677,165638,176463,173022,177890,176661,187886,196561,192049,187802,192073,200737,160233,154798,148400,20088,20794,20134,20150,20441,21520,24158,28624,28443,33609,36434,40852,43005,50403,52145,52809,60489,64694,67403,69786,72833,80131,81797,87267,93501,101707,107391,122774,126592,116655,116113,128036,144640,152240,160344,157230,162759,149048,160381,162622,176330,176770,168513,184289,204280,210540,213794,221362,246447,265315,270287,297255,296893,298234,298408,300330,298591,307639,303935,347865,189525,208819,207522,210148,195490,186054,197372,196878,192795,189052,189666,204702,199116,218288,220186,219530,206168,204098,233221,239820,261667,289559,293463,310368,313357,365286,386260,400999,389563,446614,480704,525842,524151,600498,673250,728813,686403,761589,752929,668035,503018,483549,513633,512143.5,506896,542440,538715,608677,612384,699036.242,711797,703700,641889,703419.468,632124.027,689406.526,638536.25,607384.618,585189.985,601547.702,590784.519,625282.704,634921.857,633720.981,599993.414,615231.428,590149.453,578188.737,547676.169,575870.618,597438.01,585036.631,573625.641,623635.451,610964.249,609799.561,573639.485,615132.991,606384.845,566304.073,571575.31,580799.959,616781.378,609096.513,564491.755,628044.346,628961.562,668938.18
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5R:Developed countries,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:P:5R:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749959.375,2420996.612,2442947.667,2359333.468,3863620.7,3885211.214,3836221.82,3903591.851,3993723.645,4264533.722,4149120.813,4174812.125,4089254.143,4252719.787,4245959.23,4368917.624,4449108.903,4618024.86,4453473.254,4519071.093,4445899.604,4721484.09,4746303.87,4763096.553,4897624.868,5094483.049,5148064.454,5258142.861
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",4W:Developing Africa and Middle East,N:Cross-border,Q:S:C:A:TO1:A:5J:A:5A:I:4W:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23058.495,23062.716,23700.459,25523.151,23270.08,24121.77,24891.97,71357.922,64987.716,71463.874,77937.951,72769.274,78490.674,74371.417,103613.912,93347.098,98959.379,102645.984,106922.533,108635.967,109220.218,111790.523,124013.29,133290.521,138043.753,137097.351,139048.601,137647.597,140295.3,139334.471,144331.119,142184.472,141713.157,152053.883
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,EUR:Euro,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,"I:Banks, related offices",5J:All countries (total),N:Cross-border,Q:S:L:A:EUR:A:5J:A:5A:I:5J:N,,,,,,,,,,,,,,,,,,,,,,,1937,1389,1493,1716,1842,1598,1857,2000,2398,2853,2593,2728,3993,3784,22170,25418,25807,28972,33711,35294,32547,32350,36211,37390,38107,40290,47050,61053,63855,81039,79296,82369,74520,80843,92120,90545,99359,108590,95920,85545,82535,87925,88994,92458,98111,111458,198932,230936,232763,235125,236485,235280,232833,227297,241066,235395,238852,238558,249620,281730,299918,314423,778858,661016,614731,628662,654592,665524,641590,594198,659542,724845,683166,726559,727269,695176,846112,911471,1070355,1144753,1251544,1213989,1322240,1305020,1321435,1371642,1595514,1586801,1512670,1549535,1619323,1707690,1901340,1812656,1963983,2132247,2181471,2412214,2610514,2744063,2764232,2590679,2579017,2425006,2487248,2443917,2469672,2324863,2391703,2574970,2482398,2647476,2609734,2623550,2620944,2913629,2850032.194,2793665.226,2708085.301,2398821.529,2466345.417,2297734.185,2296821.97,2350939.193,2355177.635,2132044.447,2319644.954,2128438.715,2157807.49,2152666.806,1992441.96,2123573.117,2241754.451,2182837.429,2108974.514,2295814.354,2344651.731,2410729.539,2427668.84,2434102.594,2427003.695,2382713.031,2337069.039,2352437.981,2406130.312,2291197.672,2339598.847,2454264.793,2430961.67,2560662.728
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,$TO1-USD-EUR-JPY-GBP-CHF-UN9,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,U:Unallocated by sector,5J:All countries (total),N:Cross-border,Q:S:L:A:$TO1-USD-EUR-JPY-GBP-CHF-UN9:A:5J:A:5A:U:5J:N,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1328,1635,1217,1468,1264,1440,1525,1542,1913,2136,2195,2593,2518,2488,2973,3244,3255,3254,4207,6171,6674,6650,6007,7513,10638,10651,11008,11828,12672,13388,14527,14506,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,0,38,23465,27606,22796,20678,23198,23279,24505,25190,25861,26566,28838,28625,30655,26573,28870,10989,10784,10824,34754,35237,33443,40132,48504,46346,2370,2419,2378,2515,2639,2622,2589,2728,2175,1909,1996,1995,1722,1757,1900,1529,1485,3429,3449,2935,3366,4043,4948,246,251,259,247,256,284,292,294,308,318,323,1940.102,1906.784,1423.119,1604.233,2038.754,2182.899,12084.075,17248.493,12523.303,12411.018,33154.064,28848.161,28485.286,31650.41,23197.759,30679.096,30108.786,28542.802,29097.802,25000.675,26466.485,32066.002,33519.748,37069.474,35987.878,37706.41,39334.877,54953.384,59781.12,55518.546,58425.654,46271.782,41033.065,51320.837
Q:Quarterly,S:Amounts outstanding / Stocks,C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,P:Non-financial sectors,5J:All countries (total),U:Unallocated,Q:S:C:A:TO1:A:5J:A:5A:P:5J:U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.424,592.06,1925.346,1839.267,2099.36,2198.778,2477.846,2549.628,9842.185,6355.46,20618.914,20769.086,20541.738,20664.928,5939.842,5351.273,5902.883,5359.518,4653.693,5785.939,5000.644,7051.97,4851.75,6223.957,4077.458,5077.258,4212.877,11460.958
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,A:All sectors,5R:Developed countries,N:Cross-border,Q:S:L:A:TO1:A:5J:A:5A:A:5R:N,430798,439438,451714,494959,564224,557444,609751,672267,724015,730691,788641,804319,864747,877315,868442,919546,992000,1008253,1008606,1032854,1065512,1065292,1069451,1079384,1300956,1340025,1351566,1324588,1356088,1408812,1420177,1512575,1629534,1708892,1799913,1972236,2140540,2282464,2429833,2575761,2865071,2871522,2873888,2996669,3114485,3248275,3204334,3400612,3672031,3741424,3866949,4234292,4404318,4160358,3987957,4084059,4288610,4095637,4251544,4529718,4255328,4262216,4199650,4299073,4271884,4422218,4544402,4753119,4822132,5267792,5366214,5266107,5241259,5248744,5190916,5256891,5321659,5416079,5543507,5511782,5923751,5837808,5931450,6334464,6324896,6079869,6011776,6258750,6174811,6365690,6382859,6294297,6578675,6922595,6682936,6901475,7047424,7091599,7677323,7694486,8276140,8696601,9161746,9188507,9786139,10379418,10476704,10665521,11438120,12053897,12275974,12583764,12564474,13607369,14534962,14790955,15397326,17069004,17840507,19433648,20565861,22642072,21857460,20593896,18981139,17864215,18281603,18466575,18051157,17995227,17865729,19300598,18741664,19607098,19709100,19969872,18896322,19133779,18077144.05,18316035.37,18129214.02,17591553.52,17543000.32,17507446.67,17658190.44,17943391.95,18100558.5,17512892.76,17058419.69,16453587.27,15957318.74,15732684.96,15481040.24,16066419.85,16466486.56,16128004.55,15291060.58,15776910,16299359.02,16531390.43,16534467.24,17382610.73,16883276.79,16613173.04,16724947.82,17389833.73,17692258.9,17714345.84,17384685.98,19383307.94,18814440.93,19170407.2
Q:Quarterly,S:Amounts outstanding / Stocks,L:Total liabilities,A:All instruments,CHF:Swiss franc,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",5A:All reporting countries,F:Non-bank financial institutions,5J:All countries (total),N:Cross-border,Q:S:L:A:CHF:A:5J:A:5A:F:5J:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36614.59,43626.845,44970.148,46024.996,43426.694,42169.16,40240.395,41774.11,35291.141,35274.711,36979.323,38032.171,35908.676,35851.72,39228.877,36628.539,39016.1,49250.575,46422.372,39737.628,41117.942,38925.882,38569.533,44358.805,45527.159,44777.893,42574.146,47093.377
